pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
0.838095,0.856148,-1.70058,0.0408795,0.783701,0.856148,All
0.841059,0.858469,-1.69953,0.0409899,0.792156,0.858469,All
0.854259,0.860789,-1.69916,0.0411004,0.798857,0.860789,All
0.881152,0.863109,-1.69856,0.0412109,0.813367,0.863109,All
0.89066,0.865429,-1.69797,0.0413214,0.825359,0.865429,All
0.90009,0.867749,-1.69718,0.0414319,0.857235,0.867749,All
0.935593,0.87007,-1.69612,0.0415424,0.861639,0.87007,All
0.936977,0.87239,-1.69546,0.0416529,0.942745,0.87239,All
0.986571,0.87471,-1.69221,0.0417633,0.965985,0.87471,All
0.995906,0.87703,-1.68994,0.0418738,0.977198,0.87703,All
1.00792,0.87935,-1.68904,0.0419843,1.00432,0.87935,All
1.01309,0.881671,-1.68787,0.0420948,1.01784,0.881671,All
1.02145,0.883991,-1.68777,0.0422053,1.018,0.883991,All
1.02665,0.886311,-1.68613,0.0423158,1.02078,0.886311,All
