tin_abscissa,tin_cdf,beta_abscissa,beta_cdf,delta_abscissa,delta_cdf,p_abscissa,p_cdf,split
-3.92472,0.183333,1.59242e-08,0.184127,0.634995,0.184127,6416.56,0.183333,All
-3.90839,0.184127,1.59436e-08,0.184921,0.635288,0.184921,6427.28,0.184127,All
-3.9034,0.184921,1.59584e-08,0.185714,0.636684,0.185714,6434.83,0.184921,All
-3.89976,0.185714,1.59595e-08,0.186508,0.637284,0.186508,6448.12,0.185714,All
-3.89936,0.186508,1.59625e-08,0.187302,0.637679,0.187302,6453.56,0.186508,All
-3.89484,0.187302,1.59727e-08,0.188095,0.639668,0.188095,6454.49,0.187302,All
-3.89085,0.188095,1.59825e-08,0.188889,0.639767,0.188889,6456.29,0.188095,All
-3.87418,0.188889,1.59942e-08,0.189683,0.640905,0.189683,6459.5,0.188889,All
-3.87361,0.189683,1.60151e-08,0.190476,0.64136,0.190476,6467.5,0.189683,All
-3.86073,0.190476,1.6041e-08,0.19127,0.641838,0.19127,6468.36,0.190476,All
-3.85263,0.19127,1.60497e-08,0.192063,0.643369,0.192063,6468.5,0.19127,All
-3.84802,0.192063,1.60794e-08,0.192857,0.645988,0.192857,6469.92,0.192063,All
-3.83577,0.192857,1.60911e-08,0.193651,0.647839,0.193651,6473.77,0.192857,All
-3.83278,0.193651,1.61081e-08,0.194444,0.649758,0.194444,6474.14,0.193651,All
-3.83188,0.194444,1.61244e-08,0.195238,0.649984,0.195238,6474.82,0.194444,All
-3.83006,0.195238,1.61556e-08,0.196032,0.650134,0.196032,6475.63,0.195238,All
-3.81292,0.196032,1.61611e-08,0.196825,0.65027,0.196825,6476.05,0.196032,All
-3.80587,0.196825,1.61698e-08,0.197619,0.650447,0.197619,6477.01,0.196825,All
-3.7905,0.197619,1.61717e-08,0.198413,0.651576,0.198413,6479.15,0.197619,All
-3.78901,0.198413,1.61717e-08,0.199206,0.655264,0.199206,6479.66,0.198413,All
-3.77936,0.199206,1.61717e-08,0.2,0.656703,0.2,6481.4,0.199206,All
-3.77034,0.2,1.61776e-08,0.200794,0.659155,0.200794,6481.68,0.2,All
-3.75977,0.200794,1.61854e-08,0.201587,0.662419,0.201587,6483.35,0.200794,All
-3.72542,0.201587,1.6214e-08,0.202381,0.664206,0.202381,6483.94,0.201587,All
-3.72068,0.202381,1.62194e-08,0.203175,0.66449,0.203175,6485.76,0.202381,All
-3.71333,0.203175,1.62285e-08,0.203968,0.665537,0.203968,6486.65,0.203175,All
-3.68219,0.203968,1.62288e-08,0.204762,0.666499,0.204762,6489.93,0.203968,All
-3.66089,0.204762,1.62515e-08,0.205556,0.667797,0.205556,6493.18,0.204762,All
-3.6558,0.205556,1.62551e-08,0.206349,0.6686,0.206349,6494.91,0.205556,All
-3.6546,0.206349,1.62685e-08,0.207143,0.669011,0.207143,6496.79,0.206349,All
-3.64886,0.207143,1.63016e-08,0.207937,0.670032,0.207937,6496.8,0.207143,All
-3.64353,0.207937,1.63282e-08,0.20873,0.670623,0.20873,6502.35,0.207937,All
-3.64133,0.20873,1.63667e-08,0.209524,0.671884,0.209524,6503.73,0.20873,All
-3.63959,0.209524,1.64164e-08,0.210317,0.673555,0.210317,6507.11,0.209524,All
-3.63921,0.210317,1.64284e-08,0.211111,0.674574,0.211111,6508.04,0.210317,All
-3.63735,0.211111,1.6447e-08,0.211905,0.675201,0.211905,6510.21,0.211111,All
-3.61475,0.211905,1.64645e-08,0.212698,0.67542,0.212698,6512.48,0.211905,All
-3.60857,0.212698,1.6479e-08,0.213492,0.67555,0.213492,6512.98,0.212698,All
-3.60605,0.213492,1.648e-08,0.214286,0.676399,0.214286,6513.78,0.213492,All
-3.5847,0.214286,1.64974e-08,0.215079,0.676471,0.215079,6515.64,0.214286,All
-3.57561,0.215079,1.65226e-08,0.215873,0.677313,0.215873,6517.49,0.215079,All
-3.5708,0.215873,1.65432e-08,0.216667,0.678767,0.216667,6522.35,0.215873,All
-3.56554,0.216667,1.66086e-08,0.21746,0.679126,0.21746,6526.51,0.216667,All
-3.54243,0.21746,1.66087e-08,0.218254,0.67967,0.218254,6527.27,0.21746,All
-3.5423,0.218254,1.66197e-08,0.219048,0.681205,0.219048,6527.8,0.218254,All
-3.53516,0.219048,1.66544e-08,0.219841,0.68243,0.219841,6528.4,0.219048,All
-3.52837,0.219841,1.6658e-08,0.220635,0.682529,0.220635,6533.68,0.219841,All
-3.52281,0.220635,1.66671e-08,0.221429,0.682545,0.221429,6535.43,0.220635,All
-3.51751,0.221429,1.6679e-08,0.222222,0.682671,0.222222,6535.99,0.221429,All
-3.50743,0.222222,1.66829e-08,0.223016,0.682847,0.223016,6540.35,0.222222,All
-3.49996,0.223016,1.6705e-08,0.22381,0.683101,0.22381,6543.23,0.223016,All
-3.48708,0.22381,1.67239e-08,0.224603,0.683211,0.224603,6548.19,0.22381,All
-3.48607,0.224603,1.67648e-08,0.225397,0.68334,0.225397,6550.76,0.224603,All
-3.47085,0.225397,1.6787e-08,0.22619,0.684675,0.22619,6552.47,0.225397,All
-3.47081,0.22619,1.68e-08,0.226984,0.68497,0.226984,6555.36,0.22619,All
